Brand,Model Name,Screen Size,Colour,CPU Model,RAM Memory Installed Size,Operating System,Special Feature,Graphics Card Description,CPU Speed,HDD,Price
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i5,16 GB,Windows 11,Anti Glare Coating,Dedicated,,512 GB,"66,490"
HP,HP Chrome,14 Inches,rey,Intel Core i5,8 GB,Windows,Thin,Integrated,,64 GB,
Lenovo,Lenovo V310,14 Inches,,Intel Core i3,8 GB,Windows,,Integrated,2 GHz,,
Acer,Swift Go 14,14 Inches,Silver,Unknown,16 GB,Windows 11 Home,Thin,Integrated,,,"79,990"
HP,15s-ey1508AU,15.6 Inches,Black,Ryzen 3,8 GB,Windows 11 Home,"Micro-Edge Display, HD",Integrated,,256 GB,"27,490"
ASUS,Vivobook 14X 2023,14 Inches,Indie Black,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"65,990"
Lenovo,LOQ 15IRH8,15.6 Inches,Storm Grey,Intel Core i5,16 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"74,990"
ASUS,ASUS Vivobook S 16 OLED,16 Inches,"Blue,16GB,Intel Ultra 5 125H | Intel Arc Graphics",Core i5,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard, OLED Display",Integrated,,,"1,02,949"
Acer,Aspire 3,15.6 Inches,Silver,Celeron,8 GB,Windows 11 Home,,Integrated,1.1 GHz,,"21,990"
Acer,Aspire 3,15.6 Inches,Silver,Celeron,8 GB,Windows 11 Home,,Integrated,1.1 GHz,,
ASUS,TUF Gaming,15.6 Inches,Black,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"50,990"
HP,16-e0350ax,39.6 Centimetres,Performance Blue,AMD Ryzen 5 5600X,16 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare",Dedicated,,512 GB,"58,990"
HP,HP Laptop,15.6 Inches,Silver,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,,512 GB,"51,800"
HP,HP Chromebook,13.3 Inches,,Core M Family,8 GB,Chrome OS,"Anti Glare Screen, Thin",Integrated,1.1 GHz,,
Honor,BRN-F56,16 Inches,Space Gray,Core i5-12450H,16 GB,Windows 11 Home,"Anti Glare Coating, Numeric Keypad",Integrated,,512 GB,"41,990"
Lenovo,IdeaPad 3,15.6 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"35,218"
ASUS,ASUS Vivobook 15,15.6 Inches,Icelight Silver,Core i7,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard",Integrated,,,"57,990"
HP,15-fa1307TX,39.6 Centimetres,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,1 TB,"64,990"
Lenovo,IdeaPad Slim 5 16IRL8,16 Inches,Cloud Grey,Core i7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"79,990"
Primebook,Primebook S Wifi,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,"Light Weight, Thin",Integrated,,128 GB,"13,490"
HP,15s-fy5011TU,15.6 Inches,Silver,Intel Core i3,8 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"35,990"
Lenovo,Lenovo ThinkPad,15.6 Inches,,Intel Core i7,16 GB,Windows,,Dedicated,2.7 GHz,,
Lenovo,Lenovo V15 G4,15.6 Inches,Arctic Grey,Ryzen 3,8 GB,Windows 11 Home,"Anti Glare Screen, Thin",Integrated,,512 GB,"27,990"
HP,HP Laptop,35.6 Centimetres,Moonlight Blue,Intel Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Soft grey keyboard, Anti Glare Coating",Integrated,,512 GB,"40,490"
ASUS,BR022WS,15.6 Inches,Transparent Silver,Celeron,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"24,990"
HP,HP Laptop,35.6 Centimetres,Silver,Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Anti-Glare",Integrated,,512 GB,"35,990"
ASUS,ASUS Vivobook 16X,16 Inches,Indie Black,Intel Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Anti-glare Display, Antivirus - McAfee 1 year",Integrated,,,"56,980"
Lenovo,IdeaPad 1 14IGL7,14 Inches,Cloud Grey,Celeron N4020,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"25,990"
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,256 GB,
ASUS,TUF Gaming F15,15.6 Inches,Graphite Black,AMD Ryzen 7,16 GB,Windows 11 Home,"AI noise-canceling technology DTS software Hi-Res certification (for headphone), Adaptive-Sync, Anti-glare display, Built-in array microphoneAI noise-canceling technology DTS software Hi-Res c…See more",Dedicated,,512 GB,"67,990"
HP,15-fa1319X,39.6 Centimetres,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,512 GB,"75,990"
Lenovo,Yoga Slim 7,14 Inches,Luna Grey,Intel Core i7,32 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Integrated,,1 TB,"1,05,799"
Lenovo,IdeaPad,15.6 Inches,Arctic Grey - 8GB | Intel Core i5 1235U,Core i5,8 GB,Windows 11 Home,"Anti Glare Screen, Thin",Integrated,,512 GB,"45,999"
HP,HP Laptop,39.6 Centimetres,Silver,Core i3,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Light Weight",Integrated,,512 GB,"35,490"
ASUS,ASUS Zenbook 14 OLED,14 Inches,"Silver,32GB,Intel Ultra 7 155H|Intel Arc Graphics",Intel Core Ultra 7,32 GB,Windows 11 Home,"Thunderbolt Port, 70% less harmful blue light, Touch screen",Integrated,,,"1,27,990"
Chuwi,,14 Inches,Black,Core i5-1035G1,16 GB,,"Portable, Backlit Keyboard, Light Weight",,,512 GB,
Lenovo,IdeaPad 3 14IAU7,14 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"33,990"
Lenovo,Lenovo V15 G2 IJL,15.6 Inches,Black,Celeron,8 GB,Windows 11 Home,Thin,Integrated,,256 GB,"22,490"
Jio,JioBook,11.6 Inches,Blue,Others,4 GB,JioOS,"Universal compatibility, Premium SoftMaker Office 2024 included for lifetime, 4G-LTE, Multi-Window Support, Data sharing with existing Jio mobile number, Ultra-light and compact < 1kgUniversal compatibility, Premium SoftMa…See more",Integrated,,64 GB,"15,499"
Walker,NU14A1,14.1 Inches,Silver,Celeron N4020,4 GB,Windows 11 Home,Thin,Integrated,2.8 GHz,,"12,990"
Chuwi,,14 Inches,Black,Core i5-1035G1,16 GB,,"Portable, Backlit Keyboard, Light Weight",,,512 GB,
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,,"49,990"
ASUS,Vivobook Pro 15 OLED,39.62 Centimetres,Cool Silver,Ryzen 5,16 GB,Windows 11 Home,"Fingerprint Reader, FHD (1920 x 1080) OLED 16:9 aspect ratio, Backlit Chiclet Keyboard, with Cortana support, Memory Card SlotFingerprint Reader, FHD (1920 x 1080) OLED 16:9 aspect ratio, Backlit Chiclet Keyboard, with Cortana support, Me…See more",Dedicated,,512 GB,"57,990"
ASUS,Vivobook Go 14,14 Inches,Black,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"29,990"
Lenovo,IdeaPad,15.6 Inches,Cloud Grey,Ryzen 5,16 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"36,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,3.3 GHz,,"42,990"
HP,HP Chrome,14 Inches,silver,Intel Core i5,8 GB,Chrome OS,Touchscreen,Integrated,,64 GB,
ASUS,ASUS Vivobook 15,15.6 Inches,Intel Core 516GB,Core i5,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard",Integrated,,512 GB,"59,990"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i7,16 GB,Windows 11 Home,Thin,Dedicated,,,"59,990"
Lenovo,E14 Gen 5 AMD,14 Inches,Black,Ryzen 5,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,,512 GB,"51,990"
ASUS,Vivobook Go 14,14 Inches,Silver,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,1 TB,"34,990"
Dell,Dell Laptop,15.6 Inches,Carbon Black,Core i3,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"38,990"
HP,HP Laptop,15.6 Inches,Natural Silver,AMD Ryzen 5 5500U,8 GB,Windows 11,"Micro Edge, Anti Glare, Dual Speakers, Built in Alexa, Multi Touch Gesture, Lightweight",Integrated,,512 GB,"36,490"
ASUS,ASUS Vivobook 16,15.6 Inches,"Black,16 inch",Core i3,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"38,990"
HP,255 G8,15.6 Inches,Black,,8 GB,Windows 11 Home,Numeric Keypad,Integrated,,256 GB,"22,950"
HP,15s-fy5006TU,39.6 Centimetres,Natural Silver,Core i3,8 GB,Windows 11 Home,"FHD, Anti-glare Display",Integrated,,512 GB,"35,990"
Lenovo,IdeaPad 3,14 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"34,990"
Lenovo,IdeaPad,14 Inches,12th Gen i5 | 16GB | 512GB SSD,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"50,490"
Lenovo,IdeaPad 1 14IGL7,14 Inches,Gray,Celeron N4020,4 GB,Windows 11 Home,"Light Weight, Thin",Integrated,,,"20,990"
ASUS,Vivobook 15 (2023),15.6 Inches,8GB RAM | 512GB SSD,Core i5,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"50,990"
Lenovo,Lenovo ThinkPad,14 Inches,black,Intel Core i5,16 GB,Windows,"Touchscreen, Webcam, Light Weight, Thin",Integrated,,256 GB,
ZEBRONICS,ZEB-NBC4S (8 GB) Midnight Blue,15.6 Inches,Midnight Blue,Intel Core i5,8 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated Graphic,,512 GB,"29,990"
ASUS,ASUS Zenbook 14 OLED,14 Inches,"Blue,16GB,Intel Ultra 5 125H | Intel Arc Graphics",Intel Core Ultra 5,16 GB,Windows 11 Home,"Thunderbolt Port, 70% less harmful blue light, Touch screen",Integrated,,,"1,07,990"
ASUS,ASUS Zenbook 14 OLED,14 Inches,"Blue,32GB,Intel Ultra 9 185H | Intel Arc Graphics",Core i9,32 GB,Windows 11 Home,Glossy Display,Integrated,,,"1,16,990"
HP,15s-fq5190TU,39.6 Centimetres,Natural Silver,Core i7,16 GB,Windows 11 Home,"FHD, UWVA, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"59,990"
Dell,Latitue 5490,14 Inches,Black,Core i5 Family,16 GB,Windows 10 Pro,"Anti Glare Screen, Thin",Integrated,,512 GB,
Dell,Vostro 3440,14 Inches,Titan Grey,Core i5,8 GB,Windows 11 Home,Thin,Integrated,4.6 GHz,,"50,819"
HP,HP Laptop,15.6 Inches,Silver,Intel Core i5,8 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"47,990"
FUTOPIA,NU14U3INC43BN,14.1 Inches,Gray,Celeron N4020,4 GB,Windows 11 Home,"HD Audio, Spill resistant, Lightweight, Memory Card Slot",Integrated,,128 GB,"10,990"
Dell,Vostro,15.6 Inches,Carbon Black,Core i5,16 GB,Windows 11 Home,Thin,Integrated,,80 TB,"54,720"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Ryzen 7 5700U,16 GB,Windows 11 Home,Light Weight,Integrated,,,"40,990"
ASUS,Vivobook Go 14,14 Inches,silver,Ryzen 5 7600X,16 GB,,Numeric Keypad,,,512 GB,"40,990"
HP,HP Chrome,14 Inches,rey,Intel Core i5,8 GB,Windows,"Light Weight, Thin",Integrated,,64 GB,
Dell,Vostro 3530,16 Inches,Titan Grey,Core i3,8 GB,Windows 11 Home,,Integrated,4.5 GHz,,"39,990"
Lenovo,IdeaPad Slim 5,14 Inches,Cloud Grey,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"81,490"
ASUS,Vivobook 14X 2023,14 Inches,Indie Black,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"65,990"
Lenovo,Lenovo ThinkPad,14 Inches,black,Intel Core i5,16 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,512 GB,
HP,HP Laptop,39.6 Centimetres,Silver,Ryzen 3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Anti-Glare",Integrated,,512 GB,"30,900"
HP,Victus Gaming Laptop,40.9 Centimetres,Blue Ryzen 7 7840HS + 6GB RTX3050 + 16GB/512GB,Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Numeric Keypad",Dedicated,,1 TB,"81,990"
HP,HP 255 G9,15.6 Inches,Black,Athlon,4 GB,DOS,"Anti Glare Screen, Micro Edge Display",Integrated,,256 GB,"19,490"
Lenovo,IdeaPad,14 Inches,"14"" | 2.8K OLED | Intel Arc GPU",Core i9,32 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"1,06,990"
Acer,ANV15-51,15.6 Inches,Black,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,512 GB,"65,999"
ASUS,Vivobook Go 15 OLED (2023),15.6 Inches,"Black,16GB RAM | 512GB SSD,OLED",Ryzen 5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,
MSI,Modern 14,36 Centimetres,Classic Black,Intel Core i3,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"29,990"
Dell,Inspiron,14 Inches,Platinum Silver,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"66,990"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i5,16 GB,Windows 11 Home,Thin,Dedicated,,16 GB,"54,700"
Lenovo,IdeaPad,14 Inches,"14"" | 2.8K OLED | Intel Arc GPU",Core i9,32 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"1,06,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,"Portable, Reversible, Light Weight",Integrated,,,"33,990"
ASUS,ASUS Zenbook 14 OLED,14 Inches,"Silver,32GB,Intel Ultra 9 185H|Intel Arc Graphics",Core i9,32 GB,Windows 11 Home,Glossy Display,Integrated,,,"1,50,900"
Lenovo,IdeaPad Slim 5 14ABR8,14 Inches,Cloud Grey,Ryzen 7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"63,990"
Acer,ALG,15.6 Inches,Steel Gray,Core i5,16 GB,Windows 11 Home,"HD Audio, Memory Card Slot, Numeric Keypad",Dedicated,3.3 GHz,,"51,999"
Lenovo,Lenovo V15 G2,15.6 Inches,Black,Celeron N4000,8 GB,Windows 11 Home,"HD Audio, Lightweight, Numeric Keypad",Integrated,,256 GB,"24,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Ryzen 7,16 GB,Windows 11 Home,"FHD, Backlit Keyboard, Dual speakers, Micro-Edge Display, Anti Glare Coating",Integrated,,512 GB,"47,946"
Apple,MacBook Pro,16 Inches,Space Black,Apple M2 Ultra,36 GB,Mac OS,Backlit Keyboard,Integrated,,512 GB,"2,69,990"
Acer,ANV15-51,15.6 Inches,Black,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,1 TB,"68,999"
HP,15-fa1319X,39.6 Centimetres,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,512 GB,"75,990"
Primebook,Primebook S Wifi,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,"Light Weight, Thin",Integrated,,128 GB,"13,490"
HP,15-fd0316TU,15.6 Inches,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"54,990"
Lenovo,L470,14 Inches,Black,Core i5 6200U,8 GB,Windows 11 Pro,"Webcam, Light Weight, Thin",Integrated,,256 GB,
HP,HP Laptop,39.6 Centimetres,Natural Silver,Core i3,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare",Integrated,,512 GB,"37,490"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i5,16 GB,Windows 11 Home,Thin,Dedicated,,,"63,990"
Huawei,MateBook D 14,14 Inches,Gray,Intel Core i5,8 GB,Windows 10 Home,Huawei laptops Sleek design and light weighted with 91% screen to body ratio enhancing the viewing experience with unbeatable performanceHuawei laptops Sleek design and light weighted wi…See more,Integrated,,512 GB,"42,790"
Honor,BRN,14 Inches,Space Gray,Intel Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating",Integrated,,,"49,990"
HP,HP Victus,39.6 Centimetres,15-fa0666TX,Core i5,16 GB,Windows 11 Home,Built in Alexa,Dedicated,,512 GB,"63,990"
HP,840g3,14 Inches,Silver,Core i5 6200U,8 GB,Windows,,,2.4 GHz,1 TB,
Lenovo,IdeaPad Slim 5 14ABR8,14 Inches,Cloud Grey,Ryzen 7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"63,990"
Dell,Inspiron,14 Inches,Platinum Silver,Core i7,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,1 TB,"76,990"
Chuwi,HeroBook Plus,15.6 Inches,,Celeron N4020,8 GB,Windows 11,Lightweight,Integrated,2.8 GHz,256 GB,"18,990"
Primebook,Primebook S 4G,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,Memory Card Slot,Integrated,,128 GB,"15,980"
Dell,Vostro 3530,16 Inches,Titan Grey,Core i3,8 GB,Windows 11 Home,,Integrated,4.5 GHz,,"39,990"
ASUS,Vivobook Go 15 (2023),39.62 Centimetres,"Silver,16GB RAM | 512GB SSD FHD",Ryzen 5,16 GB,Windows 11 Home,"AI Noise Canceling, FHD (1920 x 1080) 16:9 aspect ratio, 720p HD camera With privacy shutter, with Cortana and Alexa voice-recognition support, Anti-glare displayAI Noise Canceling, FHD (1920 x 1080) 16:9 aspect ratio,…See more",Integrated,,512 GB,"40,990"
Dell,Vostro,15.6 Inches,Black,Core i5,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"44,990"
ZEBRONICS,ZEB-NBC 5S 16GB (Midnight Blue),15.6 Inches,Midnight Blue,Intel Core i7,16 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated shared,,512 GB,"37,990"
Primebook,Primebook 4G,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,Memory Card Slot,Integrated,,64 GB,"14,149"
ASUS,ASUS Zenbook 14 OLED,14 Inches,"Silver,16GB,Intel Ultra 7 155H|Intel Arc Graphics",Intel Core Ultra 7,16 GB,Windows 11 Home,"Thunderbolt Port, 70% less harmful blue light, Touch screen",Integrated,,,"1,21,974"
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black 512GB SSD,Celeron,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,,"24,990"
Lenovo,LOQ 15IAX9I,15.6 Inches,Luna Grey,Intel Core i5,8 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Integrated,,512 GB,"56,490"
ASUS,Vivobook 16 (2023),16 Inches,Cool Silver,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"54,990"
Lenovo,Lenovo V15 G4,15.6 Inches,Iron Grey,Ryzen 7,16 GB,Windows 11,"Portable, Light Weight, Thin",Integrated,,512 GB,"41,980"
Lenovo,IdeaPad,15.6 Inches,Cloud Grey,Ryzen 5,8 GB,Windows 11 Home,"HD Audio, Backlit Keyboard",Integrated,,,"35,490"
ZEBRONICS,ZEB-NBC 4S,15.6 Inches,Midnight Blue,Intel Core i5,16 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated Graphic,,512 GB,"31,990"
Dell,5490-cr,14 Inches,Black,Core i5 Family,16 GB,Windows 10 Pro,"Anti Glare Screen, Thin",Integrated,,512 GB,
Lenovo,IdeaPad Slim 5 16IRL8,16 Inches,Cloud Grey,Core i7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"79,990"
Lenovo,V15-G2,15.6 Inches,Black,Celeron N4000,8 GB,Windows 11,HD Audio,Integrated,,256 GB,"24,449"
HP,14-ew1082TU,35.6 Centimetres,Blue,Others,16 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"80,990"
ASUS,Vivobook Go 14 (2023),14 Inches,"Silver,8GB RAM | 512GB SSD,FHD",Ryzen 5,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"36,990"
HP,15s-fq3073TU,39.6 Centimetres,Natural Silver,Pentium,8 GB,Windows 11 Home,FHD,Integrated,,512 GB,"28,990"
HP,Laptop,40.9 Centimetres,Black,Intel Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,1 TB,"1,32,990"
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i7,24 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"1,05,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Ryzen 3 5300U,16 GB,Windows 11 Home,Light Weight,Integrated,,,"29,990"
ASUS,TUF Gaming,17.3 Inches,Graphite Black,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,"53,990"
HP,15-fd0220TU,15.6 Inches,Silver i5 13th Gen | 8GB,Intel Core i5,8 GB,Windows 11 Home,,Integrated,4.6 GHz,512 GB,"51,990"
ASUS,ASUS Vivobook Go 14,14 Inches,14 Inch | Celeron N4500,Celeron N4020,8 GB,Windows 11 Home,"FHD (1920 x 1080) Display, Thin and Light Laptop, Anti-glare Panel",Integrated,,256 GB,"22,790"
HP,HP Pavilion Laptop,14 Inches,Natural Silver,Core i7,16 GB,Windows 11 Home,Built in Alexa,Integrated,,1 TB,"78,990"
Dell,Inspiron,14 Inches,Platinum Silver,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"61,990"
Dell,Vostro,14 Inches,Dark Silver,Core i3 Family,8 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"33,990"
Lenovo,IdeaPad Slim 5 14IAH8,14 Inches,12th Gen i5 | 16GB | 1TB SSD,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"61,490"
Lenovo,Lenovo V14,14 Inches,Iron Grey,Core i3-1215U,8 GB,DOS,Thin,Integrated,,512 GB,"31,689"
Lenovo,IdeaPad 1 14IGL7,15 Inches,Cloud Grey,Celeron N4020,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"25,800"
ASUS,ASUS Vivobook 15,15.6 Inches,Intel Core 38GB,Core i3,8 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard",Integrated,,512 GB,"45,990"
Lenovo,IdeaPad Gaming 3 15IAH7,15.6 Inches,Onyx Grey,Intel Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"65,547"
ASUS,ASUS Vivobook 15 (2023),15.6 Inches,16GB RAM | 512GB SSD,Core i5,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"54,990"
ASUS,ASUS Vivobook S 16 OLED,16 Inches,"Black,16GB,Intel Ultra 7 155H|Intel Arc Graphics",Core i7,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard, OLED Display",Integrated,,,"1,27,900"
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,16 GB,Windows,"Touchscreen, Webcam, Light Weight, Thin",Integrated,,512 GB,
ZEBRONICS,ZEB-NBC 3S (8 GB) Space Grey,15.6 Inches,Space Grey,Intel Core i3,8 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated Graphic,,512 GB,"24,990"
HP,15-fb2117AX,39.6 Centimetres,Blue Ryzen 7 8845HS + 6GB RTX4050 + 16GB/1TB,AMD Ryzen 7,16 GB,Windows 11 Home,,Dedicated,5.1 GHz,1 TB,"97,990"
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,16 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,512 GB,
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,256 GB,
Dell,Inspiron 3530,15.6 Inches,Platinum Silver,Core i5,16 GB,Windows 11 Home,backlit keyboard,Integrated,,1 TB,"60,499"
HP,Laptop,40.9,Shadow Black,Ryzen 7,16 GB,Windows 11 Home,"FHD, Backlit Keyboard",Dedicated,,1 TB,"1,11,990"
HP,HP Pavilion Laptop,14 Inches,Natural Silver,Core i5,16 GB,Windows 11 Home,"Full HD, Micro-Edge Display",Integrated,,,"63,990"
Lenovo,IdeaPad,15.6 Inches,Arctic Grey,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"51,980"
Lenovo,IdeaPad,14 Inches,Storm Grey,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Touchscreen, Backlit Keyboard, Thin, Built-in Microphone",Integrated,,,"62,490"
ASUS,Vivobook Go 15 (2023),15.6 Inches,"Black,16GB RAM | 512GB SSD,FHD",Ryzen 5,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"40,990"
ASUS,ASUS Vivobook 15 (2023),15.6 Inches,16GB RAM | 512GB SSD,Core i5,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"54,990"
MSI,Prestige 16 AI Evo,41 Centimetres,Stellar Gray,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,,"1,17,990"
Dell,Inspiron 5630,16 Inches,Platinum Silver,Core i7,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,5,,"87,641"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,3.3 GHz,,"45,980"
ASUS,ASUS Vivobook 14X OLED,14 Inches,Indie Black,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Dedicated,,,"69,990"
